x_vel_set y_vel_set angular_vel_set motor_state_0 motor_state_1 motor_state_2 motor_state_3 motor_state_4 motor_state_5 motor_state_6 motor_state_7 motor_state_8 motor_state_9 motor_state_10 motor_state_11 ground_colision_0 ground_colision_1 ground_colision_2 ground_colision_3 orientation_quaternion_x orientation_quaternion_y orientation_quaternion_z orientation_quaternion_w angular_vel_x angular_vel_y angular_vel_z linear_acceleration_x linear_acceleration_y linear_acceleration_z linear_velocity_x linear_velocity_y linear_velocity_z action_0 action_1 action_2 action_3 action_4 action_5 action_6 action_7 action_8 action_9 action_10 action_11
0.013000 0.009000 0.000000 0.088525 0.085657 -0.011084 0.027501 0.065910 -0.011680 0.002087 0.050415 -0.007681 -0.032993 0.091513 0.020659 1 1 1 1 -0.000028 0.000208 0.072776 0.997348 -0.012316 0.019702 0.032246 -0.022899 -0.030076 0.047464 0.011239 -0.008046 0.000000 5.072093 4.907762 -0.635063 1.575706 3.776359 -0.669220 0.119559 2.888595 -0.440111 -1.890349 5.243321 1.183684
0.013000 0.009000 0.000000 -0.038225 0.120255 -0.001933 0.006799 0.036796 0.015562 -0.009810 0.027213 0.062262 -0.089142 0.040628 0.021777 1 1 1 1 -0.000028 0.000208 0.072930 0.997337 -0.002794 0.018092 -0.050405 0.027326 0.028233 0.008620 -0.010534 -0.012760 0.000000 3.993540 5.357705 -1.373706 0.833806 4.266805 -1.385723 -0.783616 3.405823 -1.185387 -2.526631 5.687509 0.403753
0.013000 0.009000 0.000000 0.026651 0.082667 -0.109450 -0.012476 0.138869 -0.045479 -0.011211 0.091618 -0.043593 -0.007646 0.024615 -0.050753 1 1 1 1 -0.000213 0.001341 0.067428 0.997723 -0.234316 0.220824 0.641871 0.396514 -0.355075 0.783480 -0.008546 -0.046787 0.000000 2.914987 5.807647 -2.112348 0.091907 4.757252 -2.102226 -1.686791 3.923052 -1.930664 -3.162912 6.131697 -0.376178
0.013000 0.009000 0.000000 -0.007545 0.108307 -0.023401 0.040948 0.095467 -0.038267 -0.055366 0.192875 -0.005883 -0.015792 0.099443 -0.042586 1 1 1 1 -0.000752 0.001573 0.071119 0.997466 -0.034246 0.055444 0.042513 0.066962 0.902128 1.834107 0.033082 -0.041797 0.000000 1.836434 6.257590 -2.850990 -0.649993 5.247698 -2.818728 -2.589966 4.440280 -2.675940 -3.799194 6.575885 -1.156109
0.013000 0.009000 0.000000 0.033000 0.114945 -0.025529 0.005895 0.133424 -0.089176 0.005169 0.168093 -0.012617 -0.044958 0.126594 -0.012912 1 1 1 1 -0.000458 0.001502 0.074900 0.997190 0.008696 0.056623 0.203957 -0.202258 0.904725 -1.739863 0.025690 0.000897 0.000000 0.757882 6.707533 -3.589632 -1.391893 5.738144 -3.535231 -3.493141 4.957508 -3.421217 -4.435476 7.020074 -1.936040
0.013000 0.009000 0.000000 -0.051405 0.102637 -0.071385 0.020275 0.124332 -0.051063 -0.138739 0.142248 -0.051054 -0.008382 0.143603 -0.034025 1 1 1 1 0.000257 0.001424 0.079613 0.996825 -0.007840 0.036067 0.213355 -0.307467 0.295837 -1.280842 0.011842 0.031333 0.000000 -0.320671 7.157475 -4.328274 -2.133793 6.228591 -4.251734 -4.396316 5.474736 -4.166494 -5.071757 7.464262 -2.715971
0.013000 0.009000 0.000000 -0.035477 0.163617 -0.075130 0.028914 0.114516 -0.087139 -0.016852 0.091625 -0.073065 -0.087900 0.142624 -0.041887 1 1 1 1 0.000951 0.001175 0.084334 0.996436 0.005527 -0.005188 0.193430 -0.369606 -0.389788 -1.009056 0.010741 0.019808 0.000000 -1.399224 7.607418 -5.066916 -2.875692 6.719037 -4.968236 -5.299491 5.991964 -4.911770 -5.708039 7.908450 -3.495902
0.013000 0.009000 0.000000 -0.042330 0.163348 -0.091279 -0.043244 0.189404 -0.099929 -0.056987 0.203647 -0.036710 -0.047837 0.174050 -0.074890 1 1 1 1 0.001385 0.000929 0.088964 0.996033 0.026890 -0.022484 0.124316 -0.107046 -0.455069 -0.959641 -0.017478 -0.001579 0.000000 -2.477777 8.057360 -5.805559 -3.617592 7.209483 -5.684739 -6.202666 6.509193 -5.657047 -6.344320 8.352638 -4.275832
0.013000 0.009000 0.000000 0.025000 0.193242 -0.089579 -0.092027 0.174752 -0.108012 -0.065483 0.144691 -0.131313 -0.083050 0.124440 -0.109062 1 1 1 1 0.001619 0.000908 0.093577 0.995610 0.000204 0.071462 0.242309 0.137230 -0.115330 -0.950565 0.005351 -0.017886 0.000000 -3.556329 8.507303 -6.544201 -4.359492 7.699929 -6.401242 -7.105841 7.026421 -6.402323 -6.980602 8.796826 -5.055763
0.013000 0.009000 0.000000 -0.017303 0.173547 -0.142237 -0.097423 0.218886 -0.170175 -0.087753 0.148654 -0.082122 -0.123881 0.163785 -0.099637 1 1 1 1 0.001738 0.000823 0.098342 0.995151 0.003834 0.091717 0.189407 0.313421 -0.143301 1.747084 0.003239 0.001122 0.000000 -4.634882 8.957245 -7.282843 -5.101391 8.190376 -7.117745 -8.009016 7.543649 -7.147600 -7.616884 9.241014 -5.835694
